CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,CONSTRUCTION_AGE_BAND,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT
1,1,House,Mid-Terrace,27,27,726,726,7.7,109,7.7,59,59,1594,1594,448,448,70.66,Unknown,Y,NO DATA!,,,2699,100,"double glazing, unknown install date",Normal,1,3,1,37,0,No system present: electric immersion assumed,Very Poor,Poor,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,Portable electric heaters,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,No system present: electric heaters assumed,Very Poor,Poor,None,Very Poor,Very Poor,Low energy lighting in 37% of fixed outlets,Average,Average,electricity - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.85,0,N,natural,England and Wales: 1900-1929,,
77,80,House,Mid-Terrace,73,78,182,149,2.6,30,2.2,45,45,368,314,140,118,86.66,Single,Y,NO DATA!,,,2104,100,double glazing installed during or after 2002,Normal,0,5,5,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 300+ mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.39,0,N,natural,England and Wales: 1976-1982,,
65,75,Bungalow,Semi-Detached,59,71,328,231,3.1,55,2.2,51,31,452,373,168,103,56.72,Single,Y,NO DATA!,,,2102,100,"double glazing, unknown install date",Normal,0,3,3,33,0,"From main system, no cylinder thermostat",Average,Average,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 300+ mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.42,0,N,natural,England and Wales: 1967-1975,,
68,71,House,Mid-Terrace,63,66,272,253,3.1,45,2.9,47,37,513,488,107,101,76.4,Single,Y,NO DATA!,,,2107,100,"double glazing, unknown install date",Normal,1,3,3,71,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 71% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.75,0,N,natural,England and Wales: before 1900,,
74,74,Flat,NO DATA!,78,78,169,169,1.6,32,1.6,28,28,308,308,68,68,49.05,Single,Y,1st,Y,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,no corridor,,2.31,0,,"mechanical, extract only",England and Wales: 1950-1966,6,6
80,83,Flat,Detached,71,74,232,202,2.2,39,1.9,74,44,172,148,161,143,56,dual,N,15th,N,,2401,100,double glazing installed during or after 2002,Normal,0,3,3,33,0,"Electric immersion, off-peak",Average,Poor,(another dwelling below),NO DATA!,N/A,Fully double glazed,Good,Good,"System built, with external insulation",Good,Good,Portable electric heaters (assumed),N/A,N/A,(another dwelling above),N/A,N/A,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in 33% of fixed outlets,Average,Average,electricity (not community),0,unheated corridor,6,2.4,,N,natural,England and Wales: 1967-1975,,
71,71,House,Mid-Terrace,66,66,237,237,3.3,40,3.3,43,43,516,516,97,97,82.74,Single,Y,NO DATA!,,,2106,100,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.47,0,N,natural,England and Wales: 1950-1966,,
76,76,House,Semi-Detached,73,73,185,185,2.6,31,2.6,44,44,408,408,97,97,84.74,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1950-1966,,
76,89,House,Semi-Detached,77,90,159,66,2,28,0.9,52,52,347,347,108,71,70,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Solid, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 2007 onwards,,
59,62,House,Mid-Terrace,53,54,292,283,5.5,49,5.4,122,61,837,850,115,115,113.88,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,6,6,0,0,From main system,Very Good,Very Good,"Solid, insulated",N/A,N/A,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,3,0,N,natural,England and Wales: 1900-1929,,
61,74,Bungalow,Semi-Detached,54,70,400,264,3.2,67.1,2.1,21,21,401,285,97,74,47.6,Single,Y,NO DATA!,,,2104,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, mains gas",N/A,N/A,"Pitched, 300+mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1976-1982,,
67,67,House,End-Terrace,68,68,203,203,2.8,38,2.8,41,41,509,509,94,94,73.4,Single,Y,NODATA!,,,2106,100,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.3,0,,natural,England and Wales: 1950-1966,7,7
69,71,House,End-Terrace,65,66,226,221,3.8,38,3.7,86,54,577,585,108,108,100.45,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,6,6,40,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.46,0,N,natural,England and Wales: 1950-1966,,
54,87,House,Mid-Terrace,52,86,319,87,4.4,56,1.3,67,67,685,410,363,75,80,Single,Y,NODATA!,,,2601,100,double glazing installed before 2002,Normal,1,5,2,75,0,"Electric immersion, standard tariff",Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Room heaters, mains gas",Good,Good,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.65,,N,natural,England and Wales: 1900-1929,,
43,71,House,Semi-Detached,38,66,461,230,6.9,77.3,3.4,76,42,872,469,192,110,102.44,Single,Y,NO DATA!,,,2102,100,double glazing installed before 2002,Normal,2,4,4,20,0,"From main system, no cylinderstat",Average,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.5,0,N,natural,England and Wales: 1930-1949,,
47,63,House,Mid-Terrace,41,56,477,335,5.1,80,3.6,46,29,598,464,139,83,63.95,Single,Y,NO DATA!,,,2102,0,INVALID!,Normal,0,4,4,40,0,"From main system, no cylinderstat",Average,Average,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.8,0,N,natural,England and Wales: 1900-1929,,
55,64,Bungalow,End-Terrace,35,41,539,459,5.8,95,4.9,74,37,598,474,127,127,60.8,dual,N,NODATA!,,,2401,100,"double glazing, unknown install date",Normal,0,3,2,0,0,"Electric immersion, off-peak",Average,Very Poor,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,No low energy lighting,Very Poor,Very Poor,electricity (not community),0,NO DATA!,,2.4,0,,natural,England and Wales: 1967-1975,8,0
52,75,House,Mid-Terrace,43,68,342,179,8.1,60,4.3,138,75,1507,1008,120,82,134,Single,Y,NODATA!,,,2102,100,"double glazing, unknown install date",Normal,1,6,6,15,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 15% of fixed outlets,Poor,Poor,mains gas (not community),0,NO DATA!,,2.8,,N,natural,England and Wales: 1900-1929,,
60,80,House,Mid-Terrace,54,76,302,152,4.4,53,2.2,109,54,812,643,108,72,82,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,4,4,0,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0,NO DATA!,,2.7,,N,natural,England and Wales: 1900-1929,,
65,68,Bungalow,Detached,63,68,227,201,3.3,44,2.9,76,42,532,503,93,82,75.11,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,1,4,4,20,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 300+ mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas (not community),0,NO DATA!,,2.33,0,,natural,England and Wales: 1976-1982,10,2
85,87,Bungalow,Mid-Terrace,83,86,133,113,1.3,24,1.1,37,37,517,517,93,59,52,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,2,2,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"System built, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.3,,N,natural,England and Wales: 1967-1975,,
74,75,House,Mid-Terrace,76,77,153,147,2.1,29,2,62,39,319,322,107,107,70.455,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,1,5,5,40,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,2.052,0,,natural,England and Wales: 1967-1975,10,4
64,76,House,End-Terrace,58,72,285,190,4,48,2.6,75,37,408,329,159,90,83.02,Single,Y,NO DATA!,,,2104,100,double glazing installed before 2002,Normal,0,5,5,0,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.29,0,N,natural,England and Wales: 1950-1966,,
66,80,House,Semi-Detached,65,79,229,134,3.4,40,2,98,56,630,609,115,77,84,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,23,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 23% of fixed outlets,Poor,Poor,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1930-1949,,
67,79,House,End-Terrace,66,77,222,144,3.3,39,2.1,55,55,640,640,115,77,84,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.3,,N,natural,England and Wales: 1967-1975,,
62,66,Flat,Detached,53,56,474,443,3.1,71,2.9,27,27,345,296,121,121,43.89,dual,N,Ground,N,2,2401,100,double glazing installed before 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Poor,Poor,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Timber frame, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,Electric storage heaters,Poor,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,no corridor,,2.38,0,N,natural,England and Wales: 1991-1995,,
56,60,House,Mid-Terrace,55,58,327,303,4.1,54,3.8,64,39,697,663,92,92,83.05,Single,Y,NO DATA!,,,2104,0,not defined,Normal,1,5,5,33,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, electric",N/A,N/A,"Flat, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, mains gas",Very Good,Very Good,Programmer and room thermostat,Average,Average,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.8,0,N,natural,England and Wales: 1900-1929,,
62,64,House,Semi-Detached,60,61,243,233,3.8,47,3.6,85,42,604,610,80,80,80.6,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,1,3,3,0,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0,NO DATA!,,2.4,0,,natural,England and Wales: 1950-1966,17,0
61,66,House,Semi-Detached,55,61,230,200,6,44,5.2,84,63,987,876,103,92,136,Single,Y,NODATA!,,,2107,100,"double glazing, unknown install date",Normal,1,8,7,67,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.73,0,,natural,England and Wales: 1930-1949,12,8
85,87,Flat,Enclosed Mid-Terrace,85,86,109,100,1.3,18,1.2,68,39,185,188,86,86,70.62,Unknown,Y,1st,N,3,2106,100,"double glazing, unknown install date",Normal,0,3,3,25,0,From main system,Very Good,Very Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,heated corridor,,2.25,0,N,natural,England and Wales: 2003-2006,,
58,72,House,Mid-Terrace,49,64,302,205,6.2,53,4.3,70,70,1167,999,121,82,117,Single,Y,NODATA!,,,2104,100,"double glazing, unknown install date",Normal,0,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,2.77,,N,natural,England and Wales: 1930-1949,,
77,77,House,Semi-Detached,73,73,184,184,2.6,30.7,2.6,40,40,365,365,88,88,83,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,6,6,100,1,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,England and Wales: 1950-1966,,
53,54,Bungalow,Semi-Detached,46,46,356,352,6.3,60,6.3,80,55,968,974,109,109,88.238,Single,Y,NO DATA!,,,2106,100,"double glazing, unknown install date",Normal,0,5,5,55,0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 55% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.51,0,N,natural,England and Wales: 1930-1949,,
44,66,House,Mid-Terrace,39,60,449,269,6.6,75,4,70,40,739,493,180,98,99.902,Single,Y,NO DATA!,,,2102,100,"double glazing, unknown install date",Normal,1,5,5,22,0,"From main system, no cylinderstat",Poor,Average,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 22% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.6,0,N,natural,England and Wales: 1930-1949,,
52,61,House,Mid-Terrace,45,54,365,300,6.2,61,5.1,83,52,925,788,129,106,110.3,Single,Y,NO DATA!,,,2107,0,not defined,Normal,1,5,5,40,0,From main system,Good,Good,"Suspended, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Flat, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.6,0,N,natural,England and Wales: 1900-1929,,
47,66,Bungalow,Semi-Detached,40,59,470,297,5.5,79,3.5,53,37,857,572,125,90,69.7,Single,Y,NO DATA!,,,2104,100,double glazing installed before 2002,Normal,1,4,4,54,0,From main system,Average,Good,"Suspended, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 54% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.7,0,N,natural,England and Wales: 1930-1949,,
70,71,House,Detached,72,73,175,169,5.3,25,5.2,118,118,905,869,170,170,242.64,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,9,9,100,1,From main system,Very Good,Very Good,"Solid, limited insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, wood logs",N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,England and Wales: 1996-2002,,
84,84,Flat,Semi-Detached,77,77,166,166,2.3,25,2.3,53,53,127,127,137,137,92.98,dual,N,5th,N,10,2602,100,double glazing installed during or after 2002,Normal,0,5,5,100,0,"Electric immersion, off-peak",Average,Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"System built, with internal insulation",Very Good,Very Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Room heaters, electric",Average,Poor,Appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,10.78,2.37,0,N,natural,England and Wales: 2007 onwards,,
